namahotel,deskripsi
Villa Padi Yogyakarta,villa padi cangkringan provides interesting panorama cool air kaliurang area private living well rural atmosphere beautiful panorama mount merapi clad green area rice field impress villa designed minimalist concept surrounded charming tropical garden eco living part design entire irrigation system villa using water mountain spend holiday affordable budget enjoy luxury facility like five star hotel 2 villa 4 room 1 villa 2 room total 10 room villa provides living room kitchen refrigerator dispenser kitchenette set direct view swimming pool 10 bedroom equipped air conditioning flat tv international channel enjoy beauty villa padi present tropical garden complete swimming pool gazebo fireplace fish pond view spot located behind villa perfect place chat family relative view spot get magnificent beautiful view volcano river rice field garden view
Villa Pakem,property located near islamic university indonesia along outdoor pool smoke free vacation home rooftop terrace coffeetea common area free wifi public area free self parking free train station pick provided additionally dry cleaning laundry facility express check onsite vacation home feature kitchenette refrigerator plus free wifi lcd tv cable channel additional amenity include balcony free bottled water hair dryer advantage recreation opportunity outdoor pool view rooftop terrace garden vacation home feature complimentary wireless internet access wedding service picnic area getting nearby attraction breeze area shuttle surcharge operates within 17 km featured amenity include express check express check complimentary newspaper lobby train station pick service provided charge available 24 hour free self parking available onsite special check instruction 24 hour airport shuttle service available fee apply contact property advance arrangement comfortable air conditioned vacation home kitchenette private balcony 20 inch lcd television cable programming provides entertainment complimentary wireless internet access keep connected convenience include desk refrigerator complimentary breakfast included nearby attraction islamic university indonesia 2 6 km 1 6 mi merapi golf course 8 7 km 5 4 mi ullen sentalu museum 9 8 km 6 1 mi jogja bay 10 9 km 6 8 mi bubrah temple 11 4 km 7 1 mi sleman city hall11 5 km 7 1 mi maguwoharjo stadium 11 7 km 7 3 mi merapi museum 12 2 km 7 6 mi hartono mall 12 5 km 7 8 mi gadjah mada university 13 5 km 8 4 mi jogja city mall 13 8 km 8 6 mi yogyakarta state university 14 1 km 8 8 mi yogya kembali monument 14 2 km 8 8 mi sambisari temple 14 2 km 8 8 mi yogyakarta monument 15 4 km 9 6 mi nearest airport yogyakarta jog adisucipto intl 16 1 km 10 mi surakarta soc adisumarmo intl 62 7 km 39 mi preferred airport vacation home yogyakarta jog adisucipto intl
Villa Pondok Terra,villa pondok terra constructed using local material typical indonesian architectural design offer combination central location traditional java style located prawirotaman villa pondok terra perfect starting point explore yogyakarta short drive many restaurant supermarket art gallery number type villa like diamond gold silver ruby silver pearl villa beautiful spacious luxurious peaceful villa feature beautiful tiled flooring wooden door frame open private garden swimming pool sun lounger villa full kitchen flat screen tv dvd player bathroom either bathtub double shower facility go sightseeing many amazing attraction nearby borobudur temple sultan palace water castle bird market malioboro prambanan temple optional tour rental provides airport transfer private pool traditional javanese ambiance perfect spot relax
Viure Cafe and Guesthouse,property located near hartono mall free breakfast free wifi public area available bed breakfast 26 room provide free wifi electric kettle flat screen tv free bottled water shower desk among amenity guest find bed breakfast offer designated smoking area front desk property arrangement check contact property ahead time using information booking confirmation home one 26 air conditioned room featuring flat screen television complimentary wireless internet access available keep connected bathroom shower provided convenience include desk electric kettle housekeeping provided daily complimentary breakfast included nearby attraction hartono mall 1 7 km 1 mi plaza ambarrukmo 2 6 km 1 6 mi affandi museum 3 km 1 9 mi sunan kalijaga state islamic university yogyakarta 3 2 km 2 mi yogyakarta state university 3 5 km 2 2 mi transmart studio mini 3 6 km 2 2 mi lippo plaza jogja 3 6 km 2 3 mi maguwoharjo stadium 3 8 km 2 4 mi siloam hospital yogyakarta 3 8 km 2 4 mi jogja bay 4 1 km 2 5 mi museum dirgantara 4 1 km 2 5 mi gadjah mada university 4 1 km 2 6 mi jogja expo center 4 7 km 2 9 mi galeria mall 4 8 km 3 mi sasana among rogo 5 9 km 3 6 mi nearest airport yogyakarta jog adisucipto intl 6 km 3 7 mi surakarta soc adisumarmo intl 58 1 km 36 1 mi
Wakeup Homestay,wake homestay home away home backpacker independent traveller right heart yogyakarta find u malioboro perfectly placed best sight sound city featuring terrace rooftop others facility provided property including shared lounge daily housekeeping express check incheck wi fi public area car park come feel many thing give unforgettable moment journey looking charming culture local cuisine history site visit well designed room really great bed need break get experience u several type room like double pod female single pod single pod enough 4 person single pod dormitory enough 10 person guestroom wakeup homestay fitted amenity need room find personal reading light electricity socket pillow locker hanger towel hanger towel wi fi air conditioning indonesian breakfast served breakfast room guest find plenty eatery within 5 minute walk property
Watu Agung Guest House,property located near borobudur temple restaurant 24 hour room service 24 hour front desk available bed breakfast free wifi public area free self parking provided amenity include tourticket assistance 3 room offer free wifi 24 hour room service led tv satellite channel amenity available guest include electric kettle free bottled water shower use convenient amenity include complimentary wireless internet access tourticket assistance getting nearby attraction breeze area shuttle surcharge featured amenity include 24 hour front desk luggage storage roundtrip airport shuttle provided surcharge available 24 hour free self parking available onsite 24 hour airport shuttle service available fee apply contact property advance arrangement home one 3 air conditioned room featuring led television complimentary wireless internet access keep connected satellite programming available entertainment bathroom shower complimentary toiletry convenience include desk electric kettle housekeeping provided daily enjoy meal restaurant stay advantage bed breakfast 24 hour room service breakfast available daily 7 am 10 am fee nearby attraction borobudur temple 1 km 0 6 mi samudraraksa museum 1 1 km 0 7 mi candi pawon 1 2 km 0 8 mi mendut buddhist monastery 3 1 km 2 mi candi mendut 3 2 km 2 mi punthuk setumbu 4 7 km 3 mi suroloyo peak 10 9 km 6 8 mi hok kiong 11 7 km 7 3 mi borobudur golf country club 16 4 km 10 2 mi diponegoro museum 17 9 km 11 1 mi kyai langgeng flower garden 18 5 km 11 5 mi sleman city hall 29 8 km 18 5 mi mount merapi 31 9 km 19 8 mi yogya kembali monument 33 8 km 21 mi jogja city mall 34 3 km 21 3 mi nearest major airport yogyakarta jog adisucipto intl 44 4 km 27 6 mi
Watu Lumbung Culture Resort,property located near parangkusumo sand dune restaurant garden picnic area available smoke free campground free breakfast local cuisine free wifi public area free self parking provided accommodation offer room service view garden use amenity complimentary wireless internet access picnic area free self parking available onsite front desk property arrangement check contact property ahead time using information booking confirmation guestroom feature room service limited hour enjoy meal restaurant stay advantage campground room service limited hour complimentary local cuisine breakfast served daily 6 00 am 1 00 pm nearby attraction parangkusumo sand dune 3 8 km 2 3 mi depok beach 5 2 km 3 2 mi parangtritis beach 5 2 km 3 2 mi history museum antiquity pleret 21 2 km 13 1 mi masjid jogokariyan 21 4 km 13 3 mi lana gallery 21 5 km 13 3 mi batik plentong 21 8 km 13 6 mi alun alun kidul 23 km 14 3 mi sasono hinggil 23 2 km 14 4 mi kraton complex 23 6 km 14 7 mi water castle tamansari 23 8 km 14 8 mi kampoeng cyber 23 8 km 14 8 mi taman pintar science park 23 8 km 14 8 mi gumuling well 24 km 14 9 mi palace yogyakarta 24 1 km 15 mi nearest major airport yogyakarta jog adisucipto intl 33 8 km 21 mi
Whiz Hotel Yogyakarta,whiz hotel yogyakarta offer well equipped conference facility business guest conduct official event convention guest use internet access facility stay connected friend friendly staff hotel guest service throughout stay cerme cave walisongo one famous tourist destination located within short drive hotel non smoking room whiz hotel yogyakarta wooden flooring soundproofed window room simply furnished feature small writing desk top quality mattress linen ac multiple tv channel private key access system hot water power rain shower free wifi connection mineral drinking water hotel serf light breakfast restaurant vending machine sell drink hotel provides 24 hour reception desk meeting room business center concierge assistance outdoor garden smoking area luggage storage currency exchange laundry service free parking available
Whiz Prime Hotel Malioboro,featuring concept simplicity style hotel ideal choice leisure business trip guest room whiz prime hotel malioboro equipped latest lcd television high quality bed soft cotton bed linen duvet premium healthy mattress angler design featured exclusively intiwhiz free wifi access modern minimalist furniture supported personalized service tailored completely pleasant hotel staying experience simple buffet breakfast available daily hotel restaurant internet corner keep everyone connected availability broadband internet access multiple tv channel essential professional business traveller hotel offer two meeting room medium large capacity
Wijaya Imperial Hotel,wijaya imperial hotel new delightful hotel concept beautywarmth comfort good value wijaya imperial hotel strategically located heart yogyakarta right front jec jogja expo center location strategic allowing anyone travel anywhere s 12 minute yogyakarta international airport 20 minute malioboro famous shopping place yogyakarta 5 minute biggest shopping mall yogyakarta ambarukmo plaza room brightly lit fitted dressing table free toiletry towel free bottled water provided en suite bathroom come hot shower facility offering room service site restaurant specialises indonesian chinese cuisine wijaya imperial hotel feature modern minimalist style accommodation restaurant 24 hour front desk feature air conditioned room flat screen satellite tv provides free wi fi access public area
Wisma Aji Yogyakarta,renovated 2013 hotel wisma aji guarantee guest pleasant stay whether yogyakarta business pleasure location 10 km city center 3 km airport 2 star hotel attracts numerous traveler year well kempt environment proximity plaza ambarukmo museum affandi adisucipto international airport give hotel special charm simply furnished room offer air conditioning wardrobe flat screen tv private bathroom include shower facility free toiletry select room come minibar hotel offer dining area breakfast served room service possible wisma aji provides meetingbanqueting facility assist guest car rental service airport shuttle arranged extra charge free public parking available site
Wisma Ary S,located south sultan palace central area yogyakarta hotel wisma ary strategically located stay access city attraction 17 room 2 storied red brick building well ventilated find small fountain yard next stilted bamboo house unwind lazy afternoon pick book english japanese bookshelf lobby donated previous guest wisma ary offer warm ethnic interior enhanced japanese style care attention wisma ary room safe clean carry affordable rate explains many repeat long stay guest frequent wisma ary evening usually gather lobby chat enjoying yogya pleasant atmosphere unique room feature brick wall decorated interesting piece art tv safety deposit box provided en suite bathroom offer bathtub hot shower facility european delight enjoyed restaurant alternatively 24 hour room service available sightseeing arrangement made tour desk guest laundry guesthouse
Wisma Gajah Guest House,stay wisma gajah guest house discover wonder yogyakarta modern java architecture hotel reached 20 minute drive nearest airport room wisma gajah guest house come air conditioning cable tv free wi fi private bathroom taste local cuisine wisma restaurant western chinese food served guest accommodation get easy access tourism site including merapi volcano 15 minute drive water castle 15 minute walk wisma gajah guest house spacious outdoor pool
Wisma MMUGM,ideal fun relaxation hotel located ugm area yogyakarta location 2 km away city centre 4 km airport 3 star hotel attracts numerous traveller year within easy reach mesjid kampus ugm galeria mall yogyakarta stadion kridosono guest advantage wealth unrivalled service amenity yogyakarta hotel whatever guest reason visiting yogyakarta wisma mmugm hotel perfect venue exhilarating exciting breakaway home 135 bedroom tastefully furnished provide comfort television desk shower complimentary wifi hotel restaurant serf variety local dish malioboro area offer multiple food beverage option hotel offer excellent variety recreational facility including garden guest hotel enjoy site feature like coffee shop room service barpub laundry servicedry cleaning meeting facility
Wisma Sargede,wisma sargede hotel popular choice amongst traveler whether vacation business trip established since 1995 yogyakarta need 20 minute city center wisma sargede dozen room 5 meeting room ballroom field guestroom designed provide optimal level comfort welcoming decor offer many facility like complimentary bottled water balconyterrace air conditioning desk shower bathroom accommodation get food room service several dining option around kantin joglo warung kabayang nbf1899 saerah cafe coworking space many facility like car park room service laundry service wi fi public area meeting facility readily available enjoy reliable service professional staff wisma sargede hotel caters need
Wisma Wanawiyata,property located near adisucipto golf course guesthouse feature free self parking free wifi public area 6 room offer free wifi tv satellite channel free bottled water shower free toiletry available guest guesthouse offer designated smoking area front desk staffed limited hour free self parking available onsite front desk open daily 9 00 am 4 30 pm home one 6 air conditioned guestroom complimentary wireless internet access keep connected satellite programming available entertainment bathroom shower complimentary toiletry convenience include complimentary bottled water housekeeping provided daily nearby attraction transmart studio mini2 km 1 3 mi museum dirgantara 2 8 km 1 7 mi adisucipto golf course 3 1 km 1 9 mi sambisari temple 3 1 km 1 9 mi plaza ambarrukmo 4 1 km 2 6 mi affandi museum 4 7 km 2 9 mi sunan kalijaga state islamic university yogyakarta 4 9 km 3 mi lippo plaza jogja 5 3 km 3 3 mi kalasan temple 5 4 km 3 4 mi jogja expo center 5 4 km 3 4 mi candi kalasan 5 5 km 3 4 mi maguwoharjo stadium 5 5 km 3 4 mi siloam hospital yogyakarta 5 5 km 3 4 mi jogja bay 5 7 km 3 5 mi candi sari 6 km 3 7 mi nearest airport yogyakarta jog adisucipto intl 1 1 km 0 7 mi surakarta soc adisumarmo intl 53 2 km 33 1 mi
Woodpecker Pavilion,property located near gadjah mada university hotel feature restaurant 24 hour front desk garden free wifi public area free self parking provided 20 room offer free wifi balcony flat screen tv cable channel room service electric kettle shower among amenity available guest view garden use amenity complimentary wireless internet access featured amenity include 24 hour front desk luggage storage free self parking available onsite home one 20 air conditioned room featuring flat screen television room private balcony complimentary wireless internet access keep connected cable programming available entertainment bathroom shower complimentary toiletry enjoy meal restaurant stay advantage hotel room service limited hour nearby attraction lippo plaza jogja 0 9 km 0 6 mi sunan kalijaga state islamic university yogyakarta 0 9 km 0 6 mi affandi museum 0 9 km 0 6 mi siloam hospital yogyakarta 1 1 km 0 7 mi yogyakarta state university 1 3 km 0 8 mi plaza ambarrukmo 1 4 km 0 9 mi galeria mall 2 km 1 3 mi hartono mall 2 3 km 1 4 mi gadjah mada university 2 5 km 1 6 mi kota gede 3 km 1 9 mi sasana among rogo 3 2 km 2 mi malioboro street 3 3 km 2 mi batik museum 3 4 km 2 1 mi yogyakarta monument 3 4 km 2 1 mi transmart studio mini 3 6 km 2 3 mi nearest airport yogyakarta jog adisucipto intl 6 km 3 7 mi surakarta soc adisumarmo intl 58 km 36 1 mi
YATS Colony,property located near malioboro street along restaurant hotel outdoor pool coffee shopcaf free wifi public area free self parking provided additionally meeting room child pool dry cleaning onsite 35 room boast fireplace jetted tub providing free wifi cable tv amenity available guest include minibar free bottled water safe advantage recreation opportunity outdoor pool view terrace garden featured amenity include dry cleaninglaundry service 24 hour front desk luggage storage free self parking available onsite home one 35 air conditioned room featuring fireplace complimentary wireless internet access keep connected cable programming available entertainment private bathroom jetted bathtub complimentary toiletry convenience include safe desk housekeeping provided daily enjoy meal restaurant snack hotel coffee shopcaf complimentary breakfast included nearby attraction gumuling well 1 2 km 0 7 mi kampoeng cyber 1 6 km 1 mi water castle tamansari 1 6 km 1 mi museum kereta kraton 2 1 km 1 3 mi sasono hinggil 2 1 km 1 3 mi kraton complex 2 1 km 1 3 mi alun alun kidul 2 2 km 1 4 mi palace yogyakarta 2 2 km 1 4 mi malioboro street 2 3 km 1 4 mi sonobudoyo museum 2 4 km 1 5 mi yogyakarta presidential palace 2 5 km 1 6 mi fort vredeburg museum 2 5 km 1 6 mi gedung agung 2 5 km 1 6 mi taman pintar science park 2 7 km 1 7 mi bringharjo market 2 7 km 1 7 mi nearest major airport yogyakarta jog adisucipto intl 12 8 km 7 9 mi
Yellow Star Ambarukmo Hotel,experience modern stylish hotel center yogyakarta yellow star hotel ambarukmo yellow star hotel offer unique youth concept full best art gallery stylish atmosphere people comfortable stay clean modern stylish hotel decorated quality bedding free wi fi cable tv ac en suite bathroom shower enjoy memorable moment best city view sky lounge steak house art lover enjoy spacious area art gallery used exhibition art performance
Yellow Star Hotel Gejayan,property located near gadjah mada university hotel feature restaurant barlounge spa service free buffet breakfast free wifi public area free valet parking provided amenity include meeting room dry cleaning laundry facility 61 room offer free wifi room service led tv cable channel amenity available guest include free newspaper free bottled water shower view garden use amenity complimentary wireless internet access babysittingchildcare surcharge featured amenity include complimentary newspaper lobby dry cleaninglaundry service 24 hour front desk roundtrip airport shuttle provided surcharge available 24 hour free valet parking available onsite 24 hour airport shuttle service available fee apply contact property advance get detail home one 61 air conditioned room featuring led television complimentary wireless internet access keep connected cable programming available entertainment private bathroom shower feature complimentary toiletry slipper convenience include complimentary newspaper complimentary bottled water housekeeping provided daily satisfy appetite lunch dinner restaurant specializes local international cuisine stay advantage room service limited hour wrap day drink barlounge complimentary buffet breakfast included nearby attraction yogyakarta state university 1 1 km 0 7 mi siloam hospital yogyakarta 1 4 km 0 9 mi lippo plaza jogja 1 7 km 1 mi hartono mall 1 9 km 1 2 mi gadjah mada university 1 9 km 1 2 mi sunan kalijaga state islamic university yogyakarta 2 1 km 1 3 mi affandi museum 2 1 km 1 3 mi galeria mall 2 4 km 1 5 mi plaza ambarrukmo 2 6 km 1 6 mi kota gede 3 3 km 2 1 mi sasana among rogo 3 6 km 2 2 mi malioboro street 3 6 km 2 2 mi batik museum 3 6 km 2 3 mi yogyakarta monument 3 7 km 2 3 mi yogya kembali monument 4 1 km 2 6 mi nearest airport yogyakarta jog adisucipto intl 7 4 km 4 6 mi surakarta soc adisumarmo intl 59 5 km 36 9 mi
Yobel Guest House,property located yogyakarta central yogyakarta along dry cleaning guesthouse laundry facility 24 hour front desk free wifi public area free self parking provided amenity include free newspaper 12 room offer free wifi room service flat screen tv cable channel guest find electric kettle free bottled water shower view terrace use amenity complimentary wireless internet access featured amenity include complimentary newspaper lobby dry cleaninglaundry service 24 hour front desk free self parking available onsite home one 12 air conditioned room featuring flat screen television complimentary wireless internet access keep connected cable programming available entertainment bathroom shower complimentary toiletry convenience include desk electric kettle housekeeping provided daily advantage guesthouse room service limited hour nearby attraction yogyakarta monument 0 5 km 0 3 mi malioboro street 0 6 km 0 4 mi malioboro mall 1 6 km 1 mi galeria mall 1 9 km 1 2 mi gadjah mada university 2 2 km 1 3 mi bringharjo market 2 2 km 1 4 mi museum sasana wiratama 2 3 km 1 4 mi pasar beringharjo 2 4 km 1 5 mi yogyakarta presidential palace 2 4 km 1 5 mi fort vredeburg museum 2 4 km 1 5 mi gedung agung 2 4 km 1 5 mi senopati 2 5 km 1 6 mi kota gede 2 7 km 1 7 mi sonobudoyo museum 2 8 km 1 7 mi taman pintar science park 2 8 km 1 7 mi nearest major airport yogyakarta jog adisucipto intl 9 5 km 5 9 mi
Yogya Kembali Hotel,property located near palace yogyakarta along 24 hour front desk hotel tourticket assistance garden free wifi public area free self parking provided 20 room offer free wifi lcd tv satellite channel free bottled water shower desk free toiletry among amenity guest find view terrace garden use amenity complimentary wireless internet access featured amenity include 24 hour front desk luggage storage free self parking available onsite home one 20 air conditioned room featuring lcd television complimentary wireless internet access keep connected satellite programming available entertainment bathroom shower complimentary toiletry convenience include desk complimentary bottled water housekeeping provided daily nearby attraction malioboro street 0 1 km 0 1 mi fort vredeburg museum 0 3 km 0 2 mi gedung agung 0 3 km 0 2 mi sonobudoyo museum 0 5 km 0 3 mi yogyakarta presidential palace 0 5 km 0 3 mi taman pintar science park 0 5 km 0 3 mi bringharjo market 0 5 km 0 3 mi pasar beringharjo 0 6 km 0 3 mi palace yogyakarta 0 6 km 0 4 mi senopati 0 7 km 0 4 mi museum kereta kraton 0 7 km 0 5 mi kraton complex 1 km 0 7 mi malioboro mall 1 1 km 0 7 mi gumuling well 1 3 km 0 8 mi kampoeng cyber 1 4 km 0 9 mi nearest major airport yogyakarta jog adisucipto intl 10 6 km 6 6 mi
Yogyakarta Tropicana Villa,property located bangunjiwo restaurant outdoor pool dry cleaning available villa self parking free additionally laundry facility garden onsite villa 3 bedroom offer free wifi room service guest enjoy deep soaking tub amenity include kitchenette refrigerator stovetop advantage recreation opportunity outdoor pool view terrace garden featured amenity include dry cleaninglaundry service laundry facility guest use roundtrip airport shuttle surcharge free self parking available onsite front desk property planning arrive midnight contact property advance using information booking confirmation comfortable air conditioned villa featuring kitchenette refrigerator stovetop led television cable programming provides entertainment complimentary wireless internet access keep connected bathroom separate bathtub shower feature deep soaking tub complimentary toiletry convenience include laptop compatible safe microwave housekeeping provided daily villa enjoy satisfying meal restaurant nearby attraction umy 4 km 2 5 mi masjid jogokariyan 7 2 km 4 4 mi water castle tamansari 7 8 km 4 9 mi kampoeng cyber 7 9 km 4 9 mi gumuling well 8 1 km 5 mi lana gallery 8 2 km 5 1 mi alun alun kidul 8 3 km 5 2 mi sasono hinggil 8 5 km 5 3 mi batik plentong 8 5 km 5 3 mi palace yogyakarta 8 7 km 5 4 mi museum kereta kraton 9 km 5 6 mi sonobudoyo museum 9 3 km 5 8 mi malioboro street 9 4 km 5 8 mi museum sasana wiratama 9 4 km 5 8 mi kraton complex 9 5 km 5 9 mi nearest major airport yogyakarta jog adisucipto intl 21 1 km 13 1 mi
ZEN Premium Madukismo,property located near masjid jogokariyan along restaurant smoke free hotel outdoor pool barlounge free wifi public area free self parking provided amenity include meeting room dry cleaning 24 hour front desk 3 room offer free wifi flat screen tv cable channel safe amenity available guest include shower phone desk enjoy recreation opportunity outdoor pool use amenity including complimentary wireless internet access featured amenity include dry cleaninglaundry service 24 hour front desk free self parking available onsite home one 3 air conditioned room featuring flat screen television complimentary wireless internet access keep connected cable programming available entertainment bathroom shower complimentary toiletry convenience include phone well safe desk zen premium madukismo enjoy satisfying meal restaurant wrap day drink barlounge nearby attraction masjid jogokariyan 3 8 km 2 4 mi umy 4 km 2 5 mi kampoeng cyber 4 6 km 2 9 mi batik plentong 4 6 km 2 9 mi water castle tamansari 4 6 km 2 9 mi lana gallery 4 6 km 2 9 mi gumuling well 4 9 km 3 mi alun alun kidul 4 9 km 3 1 mi sasono hinggil 5 1 km 3 2 mi museum kereta kraton 5 7 km 3 5 mi malioboro street 5 7 km 3 6 mi sonobudoyo museum 6 km 3 7 mi taman pintar science park 6 1 km 3 8 mi kraton complex 6 2 km 3 9 mi museum sasana wiratama 6 3 km 3 9 mi nearest major airport yogyakarta jog adisucipto intl 18 km 11 2 mi
ZEN Premium Malioboro Gajah Mada,property located near malioboro street along restaurant hotel outdoor pool fitness center free wifi public area free self parking provided amenity include barlounge massagetreatment room 24 hour room service room offer free wifi 24 hour room service tv cable channel minibar coffee r safe among amenity available guest housekeeping available per stay advantage recreation opportunity including outdoor pool fitness center hotel feature complimentary wireless internet access concierge service television common area featured amenity include complimentary newspaper lobby dry cleaninglaundry service 24 hour front desk roundtrip airport shuttle provided surcharge available 24 hour free self parking available onsite 24 hour airport shuttle service available request fee apply contact property advance get detail home one air conditioned room featuring minibar complimentary wireless internet access keep connected cable programming available entertainment bathroom shower complimentary toiletry convenience include phone well safe desk enjoy meal restaurant stay advantage hotel 24 hour room service quench thirst favorite drink barlounge buffet breakfast available daily 7 00 am 10 00 am fee nearby attraction malioboro street 0 8 km 0 5 mi batik museum 0 8 km 0 5 mi pakualaman palace 0 9 km 0 5 mi museum sasmitaloka panglima besar jenderal sudirman 1 km 0 6 mi kota gede 1 km 0 6 mi pasar beringharjo 1 1 km 0 7 mi senopati 1 1 km 0 7 mi taman pintar science park 1 1 km 0 7 mi malioboro mall 1 1 km 0 7 mi bringharjo market 1 1 km 0 7 mi fort vredeburg museum 1 3 km 0 8 mi gedung agung 1 3 km 0 8 mi yogyakarta presidential palace 1 3 km 0 8 mi sasana among rogo 1 6 km 1 mi sonobudoyo museum 1 6 km 1 mi nearest airport denpasar dp ngurah rai intl 706 7 km 439 1 mi yogyakarta jog adisucipto intl 9 km 5 6 mi preferred airport zen premium malioboro gajah mada denpasar dp ngurah rai intl
ZEN Rooms Adisucipto Airport - Hostel,property located near adisucipto golf course smoke free hostel feature laundry facility free self parking free wifi public area 9 room offer free wifi flat screen tv shower front desk staffed limited hour guest use roundtrip airport shuttle surcharge free self parking available onsite front desk open daily 8 am 9 pm property offer hour check guest arriving late able check next morning home one 9 air conditioned room featuring flat screen television complimentary wireless internet access available keep connected bathroom shower complimentary toiletry housekeeping provided daily rollawayextra bed surcharge requested nearby attraction adisucipto golf course 1 8 km 1 1 isambisari temple 2 2 km 1 4 mi transmart studio mini 2 6 km 1 6 mi museum dirgantara 3 4 km 2 1 mi kalasan temple 3 9 km 2 4 mi candi kalasan 4 km 2 5 mi plaza ambarrukmo 4 7 km 2 9 mi candi sari 5 km 3 1 mi affandi museum 5 4 km 3 4 mi sunan kalijaga state islamic university yogyakarta 5 7 km 3 5 mi kid fun park 6 km 3 8 mi lippo plaza jogja 6 1 km 3 8 mi jogja expo center 6 2 km 3 9 mi siloam hospital yogyakarta 6 3 km 3 9 mi raana ballet 6 4 km 4 mi nearest airport yogyakarta jog adisucipto intl 1 1 km 0 7 mi surakarta soc adisumarmo intl 51 9 km 32 2 mi preferred airport zen room adisucipto airport hostel yogyakarta jog adisucipto intl
ZEN Rooms Bausasran 34 Pakualaman,property located yogyakarta central yogyakarta restaurant 24 hour room service 24 hour front desk available smoke free hotel free wifi public area free self parking provided amenity include multilingual staff room offer free wifi 24 hour room service flat screen tv cable channel minibar coffee r shower among amenity available guest featured amenity include 24 hour front desk multilingual staff free self parking available onsite home one air conditioned room featuring minibar flat screen television complimentary wireless internet access keep connected cable programming available entertainment bathroom shower complimentary toiletry convenience include phone well desk coffeetea r enjoy meal restaurant stay advantage hotel 24 hour room service nearby attraction batik museum 0 5 km 0 3 mi kota gede 0 8 km 0 5 mi pakualaman palace 0 8 km 0 5 mi museum sasmitaloka panglima besar jenderal sudirman 1 1 km 0 7 mi sasana among rogo 1 2 km 0 7 mi malioboro street 1 2 km 0 8 mi pasar beringharjo 1 2 km 0 8 mi senopati 1 2 km 0 8 mi malioboro mall 1 3 km 0 8 mi bringharjo market 1 3 km 0 8 mi taman pintar science park 1 4 km 0 9 mi fort vredeburg museum 1 5 km 0 9 mi gedung agung 1 5 km 0 9 mi yogyakarta presidential palace 1 5 km 0 9 mi sonobudoyo museum 1 8 km 1 1 mi nearest major airport yogyakarta jog adisucipto intl 8 7 km 5 4 mi
ZEN Rooms Candi Sambisari,property located near sambisari temple advantage recreation opportunity indoor pool amenity including complimentary wireless internet access concierge service front desk staffed limited hour free valet parking available onsite front desk open daily 6 am 11 pm home one 16 air conditioned room featuring minibar lcd television complimentary wireless internet access keep connected cable programming available entertainment bathroom shower complimentary toiletry convenience include phone well desk electric kettle enjoy meal restaurant stay advantage guesthouse 24 hour room service nearby attraction sambisari temple 0 6 km 0 3 mi jogja bay 4 1 km 2 5 mi candi sari 4 1 km 2 6 mi maguwoharjo stadium 4 2 km 2 6 mi kalasan temple 4 2 km 2 6 mi candi kalasan 4 3 km 2 6 mi adisucipto golf course 4 6 km 2 8 mi museum dirgantara 5 9 km 3 7 mi prambanan temple 6 7 km 4 1 mi plaza ambarrukmo 7 2 km 4 5 mi transmart studio mini 7 3 km 4 5 mi raana ballet 7 6 km 4 7 mi lumbung temple 7 8 km 4 8 mi affandi museum 7 8 km 4 8 mi sojiwan temple 7 8 km 4 8 mi nearest airport yogyakarta jog adisucipto intl 4 2 km 2 6 mi surakarta soc adisumarmo intl 51 7 km 32 1 mi preferred airport zen room candi sambisari yogyakarta jog adisucipto intl
ZEN Rooms Daranindra Borobudur,property located near borobudur temple dry cleaning laundry facility 24 hour front desk available smoke free guesthouse free cooked order breakfast free wifi public area free self parking provided amenity include multilingual staff tv common area 2 room offer free wifi flat screen tv cable channel shower amenity available guest include ironing board desk free toiletry use convenient amenity include complimentary wireless internet access television common area featured amenity include dry cleaninglaundry service 24 hour front desk multilingual staff roundtrip airport shuttle provided surcharge available 24 hour free self parking available onsite 24 hour airport shuttle service available fee apply contact property advance get detail home one 2 air conditioned room featuring flat screen television complimentary wireless internet access keep connected cable programming available entertainment bathroom shower complimentary toiletry convenience include desk ironsironing board request rollawayextra bed surcharge complimentary cooked order breakfast included nearby attraction samudraraksa museum 1 2 km 0 7 mi borobudur temple 1 8 km 1 1 mi punthuk setumbu 2 5 km 1 6 mi candi pawon 2 8 km 1 7 mi mendut buddhist monastery 4 7 km 2 9 mi candi mendut 4 8 km 3 mi suroloyo peak 11 4 km 7 1 mi hok kiong 14 8 km 9 2 mi borobudur golf country club 18 km 11 2 mi kyai langgeng flower garden 18 6 km 11 5 mi diponegoro museum 19 4 km 12 1 mi sleman city hall 31 3 km 19 5 mi mount merapi 33 5 km 20 8 mi yogya kembali monument 35 3 km 22 mi jogja city mall 35 9 km 22 3 mi nearest major airport yogyakarta jog adisucipto intl 46 km 28 6 mi
